Designator,Mid X,Mid Y,Rotation,Layer
R51,135.0,-108.4,0.0,top
R52,135.0,-105.2,0.0,top
R53,148.413809,-61.226309,0.0,bottom
R54,144.913809,-61.226309,0.0,bottom
R55,148.386191,-64.463809,0.0,bottom
R56,144.886191,-64.463809,0.0,bottom
R57,148.413809,-59.526309,0.0,bottom
R58,144.913809,-59.526309,0.0,bottom
R59,148.386191,-66.063809,0.0,bottom
R6,179.0125,-73.85,180.0,top
R60,144.886191,-66.063809,0.0,bottom
R61,156.663809,-62.076309,180.0,bottom
R62,153.8,-70.6,180.0,top
R63,153.8,-68.9,180.0,top
R64,155.2,-66.3,90.0,top
R65,153.8,-72.2,180.0,top
R66,141.5,-69.8,180.0,top
R67,137.3,-61.5,90.0,top
R68,142.8,-64.2,180.0,top
R69,140.7,-61.5,270.0,top
R7,187.4,-103.7,270.0,bottom
R70,135.0175,-72.395,0.0,top
R71,135.0,-69.2,0.0,top
R72,153.8,-88.7,180.0,top
R73,153.8,-87.0,180.0,top
R74,155.2,-84.4,90.0,top
R75,153.8,-90.3,180.0,top
R76,141.5,-87.9,180.0,top
R77,137.3,-79.6,90.0,top
R78,142.8,-82.3,180.0,top
R79,140.7,-79.6,270.0,top
R8,185.8,-103.7,90.0,bottom
R80,135.0,-90.5,0.0,top
R81,135.0,-87.3,0.0,top
R82,135.41,-46.61,270.0,top
R83,137.19,-45.6175,270.0,top
R84,135.3925,-50.09,90.0,top
R85,142.9,-49.4,90.0,top
R86,144.6,-49.4,90.0,top
R87,138.29,-51.3775,0.0,top
R88,216.8,-101.7,270.0,bottom
R89,169.5,-93.1,180.0,bottom
R9,212.6,-102.4,180.0,bottom
R90,169.5,-91.5,0.0,bottom
R93,213.9,-65.4,180.0,top
R94,214.41,-61.3,180.0,top
R95,199.4,-46.4125,0.0,bottom
R96,203.2,-58.9125,0.0,bottom
R97,209.8,-46.1125,270.0,bottom
R98,211.0,-67.6125,90.0,bottom
R99,191.6,-55.8125,270.0,bottom
RESET1,216.155,-97.9275,180.0,top
SW1,188.8875,-93.86,0.0,top
SW2,210.4125,-130.54,0.0,top
SW3,208.51,-105.2325,0.0,top
T1,184.4,-119.8,270.0,top
T2,171.7,-119.8,270.0,top
U1,207.3358,-83.3861,90.0,top
U10,211.4275,-112.005,0.0,bottom
U11,215.9475,-104.887762,90.0,bottom
U12,177.5,-91.950005,270.0,bottom
U13,184.5043,-110.4108,0.0,top
U14,171.7,-110.5,0.0,top
U15,184.7875,-106.9,180.0,bottom
U16,197.05,-105.95,0.0,bottom
U17,176.7875,-50.8875,270.0,bottom
U18,145.6225,-116.53,270.0,top
U2,149.3,-124.6,180.0,top
U3,167.4275,-100.19,270.0,top
U4,216.52,-114.89,270.0,top
U5,147.8,-105.2,180.0,top
U6,152.913809,-62.863809,90.0,bottom
U7,147.8,-69.2,180.0,top
U8,147.8,-87.3,180.0,top
U9,139.04,-48.8875,0.0,top
Y1,207.12,-97.0525,180.0,top
